,name,gross_profit_rate201501,gross_profit_rate201502,gross_profit_rate201503,gross_profit_rate201504,gross_profit_rate201601,gross_profit_rate201602,gross_profit_rate201603,gross_profit_rate201604,gross_profit_rate201701,gross_profit_rate201702,gross_profit_rate201703,gross_profit_rate201704,gross_profit_rate201801,gross_profit_rate201802,gross_profit_rate201803,gross_profit_rate201804,gross_profit_rate201901,gross_profit_rate201902,gross_profit_rate201903,gross_profit_rate201904,gross_profit_rate202001,gross_profit_rate202002,gross_profit_rate202003
486,*ST科陆,36.0617,32.5564,34.0736,32.2851,38.6875,33.5082,32.8268,31.8593,37.272,37.8222,31.9735,29.894,33.9673,28.6509,29.044,26.4364,28.8264,28.0504,29.5655,29.4549,28.7506,31.836,30.2246
487,*ST天马,16.9195,19.4922,18.5051,18.1415,22.6659,23.2553,20.171,23.4035,20.2225,20.9446,16.7024,18.0255,6.9846,9.0825,9.1174,11.3335,6.8365,11.7151,11.059,12.4202,21.7522,25.1165,26.5122
488,湘潭电化,16.6433,20.4093,22.1544,23.4151,29.4582,26.6988,25.2391,23.5936,25.2362,25.5496,27.1072,25.8007,25.674,26.1831,26.9791,25.9585,25.9866,26.5854,25.7346,24.9254,25.1717,23.2935,21.5043
489,南极电商,10.5468,11.6046,10.9745,72.4611,66.0326,83.2272,87.1697,87.2262,72.9824,80.2093,84.2185,70.0549,26.8476,31.5202,30.1711,34.4696,21.4855,29.7425,29.1842,38.5003,28.03,33.0833,31.4898
490,露天煤业,45.5861,35.287,27.463,29.0968,38.9119,35.3843,33.6395,35.8223,52.7635,46.5198,42.0151,43.4126,55.1443,49.6185,47.1183,44.5401,55.305,27.6804,27.7462,27.2799,40.384,33.3201,33.1063
491,沃尔核材,27.4849,29.2787,28.271,30.5768,31.0603,31.0953,30.5617,30.9197,27.3328,29.4281,28.9058,29.2721,29.4438,29.8578,30.9509,32.2006,31.9814,32.7539,34.7916,35.6346,33.9462,38.674,40.8002
493,利欧股份,23.6008,24.2085,23.0609,22.9592,23.2005,23.3969,22.7559,21.2078,18.0892,17.4816,15.8539,15.4918,12.5675,10.9068,10.9608,11.5092,10.7533,10.6758,10.0886,10.7857,7.1397,8.2849,8.7307
495,恒星科技,17.9116,18.2502,19.521,19.8967,22.5167,24.0237,23.5916,22.729,17.8161,16.358,15.7543,15.9054,14.979,14.7836,13.5348,14.0048,12.3534,13.7206,13.9131,14.3746,14.2526,15.6439,16.4135
497,广宇集团,17.546,14.0733,9.2522,11.1877,19.6618,28.9996,27.7513,25.6576,18.7589,14.1305,13.7823,21.8229,46.1209,45.9089,42.7182,39.6397,15.9354,33.8563,29.4579,29.4001,10.5819,13.5471,14.5443
498,东南网架,13.2771,12.2173,11.117,11.4957,9.8199,10.6896,10.2826,11.3724,10.0632,10.9645,10.5497,11.2854,11.7041,11.4211,11.1142,10.7605,10.6838,12.3865,11.5521,11.5813,11.6895,13.9728,13.4244
502,安纳达,2.1069,3.3865,2.0001,2.2442,12.3823,12.4419,14.1049,15.2629,21.6552,23.9758,24.3786,22.7798,19.1285,17.2197,16.865,15.5936,11.5112,14.6864,13.9648,13.7433,17.6319,16.8518,15.0962
503,顺络电子,37.6059,36.5461,36.4457,36.4997,40.5323,38.1673,37.7997,37.006,39.7776,38.3297,36.1563,33.4776,33.3091,34.7004,35.9172,34.6416,34.7783,35.2624,34.6157,34.1462,35.3176,37.0752,36.258
504,拓邦股份,18.8149,18.1954,18.5462,18.6317,21.6903,21.6515,21.6727,22.0882,23.8629,24.3955,24.3175,23.9651,21.6344,20.2487,19.6832,19.9511,22.0623,22.3865,21.4539,21.9904,21.4893,23.5968,25.142
505,东华科技,20.529,18.5466,18.1889,12.8042,26.8492,21.1269,19.7531,18.1574,18.6154,15.7891,14.4817,15.2094,19.2872,16.1084,12.6263,11.3639,17.7512,15.1761,12.0514,12.1912,39.4077,19.2167,14.1542
506,贤丰控股,8.7101,10.0742,10.3566,9.9871,9.7484,10.5396,11.1867,10.3467,11.8995,11.3049,10.6287,10.8306,12.9337,11.5574,11.2828,13.0374,11.0247,13.3878,12.5338,12.4374,5.4026,7.4884,9.6624
507,宁波银行,49.4283,49.2651,46.9316,41.0839,39.7835,41.0453,42.351000000000006,40.8261,44.4578,45.0413,44.9573,40.214,41.1609,42.3446,44.5136,39.9091,46.8383,46.6524,46.9708,43.5831,38.6147,41.9699,41.024
508,中核钛白,22.485,24.7508,23.6531,20.9093,13.1828,18.8234,23.7306,25.0123,30.1921,32.4652,34.156,32.9542,25.1765,27.9737,29.2813,29.7276,28.8511,29.1874,30.2097,31.7859,33.5552,30.3961,28.1877
509,荣盛发展,32.1209,30.0571,30.8317,28.5162,30.6183,31.3855,30.6084,31.0483,31.2797,29.6385,28.511,29.5049,34.5973,32.3386,32.2477,31.4642,33.7584,30.4439,31.3114,30.0847,31.0854,31.3094,28.8011
510,北纬科技,45.4892,38.4407,41.4347,42.0668,57.1725,52.2722,48.06800000000001,47.4136,45.3973,45.5918,46.8052,47.2173,50.1007,57.9181,55.8984,56.33600000000001,47.466,53.7276,41.9959,45.4197,41.7437,44.2459,43.3155
511,西部材料,3.5996,9.4256,9.3425,5.8854,12.9925,19.5871,18.606,19.0492,10.1693,20.0261,20.669,19.9136,14.5291,19.0181,19.1463,21.2641,16.8743,22.9349,20.4333,21.5383,8.0218,16.303,17.570999999999998
512,通润装备,20.7617,22.6903,23.3782,23.693,26.2811,27.3197,26.963,26.8056,24.8044,25.7787,25.9227,25.6789,22.5483,23.6362,24.328000000000007,24.9675,25.4729,26.6572,27.0592,28.1675,22.9063,27.4974,27.9503
514,北斗星通,29.7826,28.8771,28.8849,31.9692,27.9629,30.7604,32.3538,32.1406,33.3213,31.1728,30.3447,30.7515,26.3557,27.6991,27.836,29.9419,28.7213,27.2187,27.2168,27.286,24.7775,28.7875,28.368
516,广电运通,54.953,52.2593,52.0916,52.1925,50.0888,46.9382,46.2228,46.9936,42.9384,40.8057,41.4109,41.8177,42.2277,42.9928,41.3554,41.3826,41.7185,40.6795,39.6029,38.9837,37.5674,41.0921,40.8215
517,石基信息,41.9089,41.9024,40.9516,40.2997,48.3244,45.1185,45.3769,40.4607,45.3906,45.9705,44.9485,44.6327,50.2028,47.89100000000001,46.095,44.9063,48.8616,46.932,47.2863,43.5386,46.6042,41.0766,40.1014
518,湖南黄金,9.7015,12.4072,12.8833,13.3714,12.6334,13.9417,15.1735,15.7607,20.3836,13.8763,12.3921,12.2466,7.562,8.5348,9.0163,9.8739,5.8146,6.3121,7.0146,8.3062,3.5336,6.8614,8.283
519,通富微电,22.0244,22.5825,20.782,21.8029,20.2183,18.3481,18.4503,17.9955,13.7014,15.3414,14.5262,14.4634,17.7826,17.0684,16.1614,15.9043,8.6241,10.6649,12.914,13.6715,13.0608,15.1063,15.4166
520,汉钟精机,34.2521,34.4624,35.4418,35.332,34.8096,36.3597,36.2821,36.1233,34.0913,33.9249,32.5355,34.826,35.371,33.4535,33.4551,32.6275,31.24,33.7714,34.5033,34.5584,33.5067,34.4563,35.7676
521,常铝股份,18.9523,19.6546,20.2467,21.009,16.4628,18.2683,18.1896,19.8993,16.6105,17.4905,17.6353,18.261,14.6655,15.226,15.0607,15.3215,12.487,14.635,14.368,15.4219,15.6056,13.1102,13.7156
522,远望谷,30.4916,31.902,34.7532,38.6671,45.0358,47.1477,46.2615,45.5496,45.8354,42.8589,42.6482,41.9403,34.5795,33.8262,33.0467,35.3841,33.0822,42.7167,43.9665,41.7913,43.1105,39.9911,37.7376
524,悦心健康,31.6542,33.9821,33.3937,32.6587,34.9814,35.9344,34.5158,35.0559,32.315,35.8052,34.6437,34.6104,34.3556,34.9252,34.2955,34.6592,33.4424,35.2762,34.5088,34.8989,35.2715,33.4574,31.7941
526,海南发展,7.7961,8.9956,7.9003,6.6487,15.3734,13.8981,14.162,13.925999999999998,13.7666,12.9295,12.1153,12.4112,12.7465,12.1243,10.7907,9.9396,8.665,11.3592,11.8221,12.2555,14.9374,16.2427,16.2314
527,宁波东力,18.7007,18.3803,19.519,21.9961,20.8353,23.6624,24.7187,24.3601,23.4891,22.6316,3.8391,3.372,2.5023,1.7742,2.4466,2.7394,28.9004,30.5996,30.9234,30.0813,27.2063,30.7242,30.4872
529,红宝丽,20.333,20.1632,20.0267,20.2997,22.8237,22.5994,20.9924,19.0344,14.8835,15.5457,15.2912,14.5807,10.6393,11.7992,12.6855,13.3582,19.0356,19.6259,20.5745,20.8062,22.9707,23.4373,22.0627
530,莱茵生物,18.5691,17.4068,28.3004,30.8354,29.0989,25.7574,24.9587,25.5416,25.2238,32.1709,30.3848,26.6688,37.5279,38.0661,34.1871,32.8433,35.715,33.8553,34.4255,30.1718,30.7096,33.1807,30.538
531,东方锆业,15.6093,17.1655,16.9448,17.1852,23.9981,21.9446,26.3691,27.3877,23.2512,27.1274,28.5528,22.6646,28.7893,29.68,28.5259,29.8775,34.47,29.7752,29.9908,20.7817,8.7088,10.9284,13.5806
532,智光电气,30.3246,30.7949,30.6671,25.4015,24.6804,28.1526,27.503,25.13,20.5275,25.9203,24.1415,22.5184,19.1241,20.3475,19.1788,18.7031,17.5092,20.3822,18.9991,18.5738,16.6668,20.2339,18.9603
533,楚江新材,3.2553,4.5443,4.0388,4.1407,6.1973,6.7531,6.9517,6.6537,7.625,6.0520000000000005,6.1061,5.8884,6.2187,7.0289,7.5161,7.9586,7.1754,8.2036,7.7896,7.6928,4.6004,6.9292,7.5067
535,游族网络,63.1714,62.3909,60.6022,58.0166,54.0563,51.0798,45.9471,47.6197,44.5188,47.0668,49.0986,52.1719,64.3628,57.5733,55.11,56.0785,54.5652,53.0645,53.9033,30.8582,46.1852,38.7718,37.8733
